N-gram,Tần suất,Dịch
nữâa,3,nữa
shopeefood,3,shopeefood
takashimaya,3,takashimaya
hallyu,3,hallyu
bann,3,bann
khoing,3,không
notes,3,notes
tik,3,tik
nowzone,3,nowzone
luợng,3,lượng
aice,3,aice
portions,3,portions
bb,3,bye bye
bă,3,bă
đă,3,đă
sapporo,3,sapporo
luong,3,lượng
cgv,3,cgv
centre,3,centre
biêt,3,biêt
cug,3,cug
wao,3,wao
lémm,3,lémm
teok,3,teok
râ,3,rất
ht,3,hỗ trợ
tq,3,Trung Quốc
somtam,3,somtam
cs,3,cơ sở
ntmk,3,ntmk
places,2,places
shophouse,2,shophouse
tips,2,tips
hotate,2,hotate
thâyd,2,thâyd
homido,2,homido
tiep,2,tiep
hpbd,2,happy birthday
tobbokki,2,tobbokki
bancha,2,bancha
tminh,2,tminh
todaytuieat,2,todaytuieat
pla,2,pla
hinode,2,hinode
hyakumi,2,hyakumi
shiper,2,shiper
thươ,2,thương
hii,2,hii
basa,2,basa
nails,2,nails
musttry,2,musttry
ichihana,2,ichihana
airbnb,2,airbnb
lotteria,2,lotteria
mirinda,2,mirinda
akahouse,2,akahouse
lol,2,laugh out loud
pxl,2,pxl
alacart,2,alacart
pungnyeon,2,pungnyeon
missed,2,missed
sz,2,size
qc,2,quảng cáo
sôt,2,sôt
amai,2,amai
lagu,2,lagu
kông,2,không
kute,2,cute
ksao,2,không sao
ks,2,khách sạn
kratha,2,kratha
promo,2,promo
저는,2,저는
abc,2,abc
mekong,2,mekong
melyfood,2,melyfood
spoons,2,spoons
quanngonquan,2,quanngonquan
qtrong,2,quan trọng
quáaa,2,quá
quốckhánh,2,quốckhánh
qtam,2,quan tâm
mh,2,mình
mainara,2,mainara
machadeul,2,machadeul
michi,2,michi
제대로,2,제대로
kpi,2,key performance indicator
rabokki,2,rabokki
pls,2,please
thic,2,thích
jinsundae,2,jinsundae
thikfaybuk,2,thikfaybuk
japchae,2,japchae
thiê,2,bỏ
siro,2,siro
thiệnn,2,thiện
jambong,2,jambong
jambbong,2,jambbong
thoii,2,thôi
thot,2,thot
jollibee,2,jollibee
ipad,2,ipad
mắ,2,mắc
thuii,2,thôi
ingredients,2,ingredients
pnt,2,pnt
thuờng,2,thường
ilhaeng,2,ilhaeng
kakaka,2,kakaka
sochu,2,sochu
khônh,2,không
mopping,2,mopping
tantan,2,tantan
kiê,2,kiê
snhat,2,snhat
motek,2,motek
kid,2,kid
mr,2,mr
khôg,2,khôg
kake,2,kake
muh,2,muh
khaolao,2,khaolao
slices,2,slices
kdoanh,2,kdoanh
kco,2,kco
hihii,2,hihii
yaour,2,yaour
vibes,2,vibes
doesn,2,doesn
doki,2,doki
dooki,2,dooki
calmette,2,calmette
àa,2,à
douple,2,douple
viber,2,viber
nviên,2,nhân viên
dumplings,2,dumplings
cac,2,cac
veggies,2,veggies
dzẻ,2,dzẻ
cabonara,2,cabonara
viettel,2,viettel
zời,2,zời
nèee,2,nè
salads,2,salads
zị,2,zị
vk,2,vk
cappucino,2,cappucino
nđc,2,nđc
vivo,2,vivo
vivian,2,vivian
desserts,2,desserts
zới,2,với
samyang,2,samyang
ntt,2,ntt
caravelle,2,caravelle
fastfood,2,fastfood
sashimj,2,sashimj
parcmall,2,parcmall
umami,2,umami
ultr,2,u là trời
edamame,2,edamame
flavors,2,flavors
uii,2,uii
tựhàongườiviệtnam,2,tựhàongườiviệtnam
paro,2,paro
burger,2,burger
pannacotta,2,pannacotta
families,2,families
reco,2,reco
bve,2,bảo vệ
uô,2,uô
norang,2,norang
panacotta,2,panacotta
ănn,2,ăn
upsale,2,upsale
dec,2,dec
omakase,2,omakase
cheaper,2,cheaper
yuzu,2,yuzu
chasiu,2,chasiu
yakiniku,2,yakiniku
choioinoodle,2,choioinoodle
xứg,2,xứng
chugn,2,chugn
origami,2,origami
opla,2,ốp la
xuyen,2,xuyen
chếc,2,chết
xg,2,xong
rolls,2,rolls
others,2,others
cooked,2,cooked
coopmart,2,coopmart
vsattp,2,vsattp
cê,2,cê
overrated,2,overrated
cuti,2,cuti
cuzng,2,cuzng
câc,2,câc
sachi,2,sachi
zá,2,zá
od,2,od
cũnh,2,cũnh
cưc,2,cưc
saigonfoodie,2,saigonfoodie
vvt,2,vvt
dat,2,dat
vsinh,2,vsinh
cungc,2,cungc
zoi,2,zoi
rôti,2,rôti
oh,2,oh
tươg,2,tươg
hadilao,2,hadilao
foodtourbyanhanh,2,foodtourbyanhanh
nhiẹt,2,nhiẹt
nhiee,2,nhiee
nguời,2,nguời
nhieu,2,nhieu
nhièu,2,nhièu
gochu,2,gochu
setlunch,2,setlunch
giâ,2,giâ
giup,2,giup
hana,2,hana
đág,2,đág
handroll,2,handroll
ts,2,ts
bossam,2,bossam
tuk,2,tuk
nhm,2,nhm
phômai,2,phômai
hbt,2,hbt
nhoo,2,nhoo
genji,2,genji
ngot,2,ngot
phø,2,phø
tongdak,2,tongdak
tuoi,2,tuoi
grilling,2,grilling
guys,2,guys
gé,2,gé
served,2,served
toyum,2,toyum
đăc,2,đăc
gth,2,gth
gđinh,2,gđinh
gđình,2,gđình
groups,2,groups
tourists,2,tourists
phile,2,phile
haejangguk,2,haejangguk
hagl,2,hagl
refilled,2,refilled
hahaa,2,hahaa
bok,2,bok
gpt,2,gpt
ơii,2,ơii
gyoza,2,gyoza
nhât,2,nhât
sd,2,sd
hehee,2,hehee
tym,2,tym
nhéee,2,nhé
sgn,2,sgn
tuyê,2,tuyệt
tokk,2,tokk
sauces,2,sauces
đuợc,2,được
tìnhh,2,tìnhh
đth,2,đth
túy,2,túy
bento,2,bento
nhă,2,nhă
đuờng,2,đuờng
sdt,2,sdt
ngiu,2,ngiu
rẻe,1,rẻe
rấtt,1,rất
roasted,1,roasted
rùii,1,rùii
recoment,1,recoment
shoppefood,1,shoppefood
shamoji,1,shamoji
sh,1,sh
rivergate,1,rivergate
somthai,1,somthai
shops,1,shops
recom,1,recom
riview,1,riview
sacgh,1,sacgh
reccommended,1,reccommended
shancha,1,shancha
riviera,1,riviera
riêg,1,riêg
quinn,1,quinn
rmc,1,rmc
soyu,1,soyu
rineg,1,rineg
quoc,1,quoc
quânn,1,quânn
rieng,1,rieng
recommenđ,1,recommenđ
qâ,1,qâ
rp,1,rp
reccomned,1,reccomned
râttstt,1,râttstt
shope,1,shope
quánngonsàigòn,1,quánngonsàigòn
sfood,1,sfood
rooftop,1,rooftop
rooms,1,rooms
shisha,1,shisha
seêding,1,seêding
sos,1,sos
recommnend,1,recommnend
rw,1,rw
songkran,1,songkran
shinhan,1,shinhan
sgon,1,sgon
roots,1,roots
setluch,1,setluch
ripped,1,ripped
sontam,1,sontam
sgnn,1,sgnn
qusn,1,qusn
qutr,1,qutr
sewee,1,sewee
sez,1,sez
somake,1,somake
sacombank,1,sacombank
relaxing,1,relaxing
sirancha,1,sirancha
sipber,1,sipber
sml,1,sml
seasonings,1,seasonings
sinpho,1,sinpho
sinhde,1,sinhde
responses,1,responses
resraurant,1,resraurant
restauranteur,1,restauranteur
ranges,1,ranges
snghi,1,snghi
sanuki,1,sanuki
singapo,1,singapo
recc,1,recc
sc,1,sc
satế,1,satế
siê,1,siê
satê,1,satê
siêuu,1,siêuu
skewers,1,skewers
skinship,1,skinship
satra,1,satra
sasshimi,1,sasshimi
saáhimi,1,saáhimi
reminds,1,reminds
sashi,1,sashi
res,1,res
ramyeon,1,ramyeon
samsung,1,samsung
sincay,1,sincay
qận,1,qận
shredded,1,shredded
qúan,1,qúan
rc,1,rc
salach,1,salach
salac,1,salac
reviewanuong,1,reviewanuong
sala,1,sala
serup,1,serup
rhui,1,rhui
saigonfood,1,saigonfood
saigoneats,1,saigoneats
serves,1,serves
qên,1,qên
sadec,1,sadec
soir,1,soir
saler,1,saler
ragu,1,ragu
restraurant,1,restraurant
reivew,1,reivew
snsd,1,snsd
ramenlovers,1,ramenlovers
restroom,1,restroom
ramenbokki,1,ramenbokki
samgyupsal,1,samgyupsal
racòn,1,racòn
samex,1,samex
retro,1,retro
seems,1,seems
rabbokki,1,rabbokki
sama,1,sama
reversation,1,reversation
sales,1,sales
qớ,1,qớ
aa,1,aa
spam,1,spam
đag,1,đang
xíquách,1,xíquách
xúat,1,xúat
xệc,1,xệc
ya,1,ya
ydon,1,ydon
ye,1,ye
yeng,1,yeng
yersin,1,yersin
yeu,1,yeu
ykr,1,ykr
yogurt,1,yogurt
xyz,1,xyz
xxk,1,xxk
xuơng,1,xuơng
xd,1,xd
wooho,1,wooho
workers,1,workers
woww,1,woww
wuen,1,wuen
xanhsm,1,xanhsm
xiaomi,1,xiaomi
xuyêb,1,xuyêb
xich,1,xich
xinhh,1,xinhh
xink,1,xink
xk,1,xk
xonbg,1,xonbg
xuye,1,xuye
íi,1,íi
zữ,1,zữ
àk,1,àk
áh,1,áh
ápp,1,ápp
âhhaha,1,âhhaha
ât,1,ât
íii,1,íii
zịu,1,zịu
òa,1,òa
òy,1,òy
ôke,1,ôke
ôkey,1,ôkey
ăb,1,ăb
ăngg,1,ăngg
zỡn,1,zỡn
zịt,1,zịt
yukcheon,1,yukcheon
zii,1,zii
yukgaejang,1,yukgaejang
yê,1,yê
za,1,za
zaap,1,zaap
ze,1,ze
zi,1,zi
zề,1,zề
zkck,1,zkck
zz,1,zz
zà,1,zà
zã,1,zã
zìa,1,zìa
zú,1,zú
wok,1,wok
vois,1,vois
viẻn,1,viẻn
việtnam,1,việtnam
vjen,1,vjen
vnese,1,vnese
vnpayqr,1,vnpayqr
vnvc,1,vnvc
voiw,1,voiw
viêt,1,viêt
volumn,1,volumn
vuc,1,vuc
vuonhoatuoi,1,vuonhoatuoi
vvk,1,vvk
vx,1,vx
váh,1,váh
viíual,1,viíual
visits,1,visits
vâne,1,vâne
videoclip,1,videoclip
veryy,1,veryy
vhanh,1,vhanh
vicom,1,vicom
vid,1,vid
vieww,1,vieww
vifon,1,vifon
vii,1,vii
vinahouse,1,vinahouse
vinmart,1,vinmart
vâ,1,vâ
vêf,1,vêf
woa,1,woa
weren,1,weren
website,1,website
weekends,1,weekends
wellcome,1,wellcome
winmart,1,winmart
wiped,1,wiped
wishlist,1,wishlist
wasn,1,wasn
vđề,1,vđề
vậ,1,vậ
vẻnhiệt,1,vẻnhiệt
vịi,1,vịi
vớu,1,vớu
wa,1,wa
wagu,1,wagu
wasibi,1,wasibi
wagyuu,1,wagyuu
waoo,1,waoo
washabi,1,washabi
đaay,1,đaay
đat,1,đat
speacial,1,speacial
đbiet,1,đbiet
먹어볼만,1,먹어볼만
메인,1,메인
미소로,1,미소로
반찬,1,반찬
반찬과,1,반찬과
반찬뿐이고,1,반찬뿐이고
받곤,1,받곤
배울것,1,배울것
보쌈,1,보쌈
보여주는,1,보여주는
비로소,1,비로소
뼈해장국,1,뼈해장국
사장님,1,사장님
생각해요,1,생각해요
식사하면서,1,식사하면서
매장,1,매장
매우,1,매우
매력을,1,매력을
대창,1,대창
느꼈어요,1,느꼈어요
다양한,1,다양한
다음에,1,다음에
다채롭고,1,다채롭고
당수육,1,당수육
대만,1,대만
떤과,1,떤과
맞찬들,1,맞찬들
만들어낸다는,1,만들어낸다는
많이,1,많이
맛없어,1,맛없어
맛있게,1,맛있게
맛있고,1,맛있고
맞이해,1,맞이해
없다,1,없다
여기서,1,여기서
여행한,1,여행한
특양,1,특양
지혜와,1,지혜와
직원은,1,직원은
처음입니다,1,처음입니다
출신이고,1,출신이고
친절합니다,1,친절합니다
코다리조림,1,코다리조림
하죠,1,하죠
주죠,1,주죠
하지만,1,하지만
한국인의,1,한국인의
한식,1,한식
한식은,1,한식은
한식의,1,한식의
합니다,1,합니다
증거라고,1,증거라고
종종,1,종종
오해를,1,오해를
음식,1,음식
오히려,1,오히려
올게요,1,올게요
요리,1,요리
요리가,1,요리가
우삼겹,1,우삼겹
육개장,1,육개장
이렇게,1,이렇게
족발,1,족발
이번이,1,이번이
일식,1,일식
자체가,1,자체가
잘먹었습니다,1,잘먹었습니다
쟁탈전,1,쟁탈전
적당하고,1,적당하고
놀랬습니다,1,놀랬습니다
내돈내산,1,내돈내산
김치들을,1,김치들을
đâyy,1,đâyy
đucợ,1,được
đuoc,1,được
đuọc,1,được
đwojc,1,đwojc
đx,1,đx
đâuk,1,đâuk
đãa,1,đãa
đtrai,1,đtrai
đãaa,1,đãaa
đèu,1,đèu
đêan,1,đêan
đêns,1,đêns
đôg,1,đôg
đômg,1,đômg
đuang,1,đuang
đs,1,đs
đăt,1,đăt
điêmr,1,điêmr
đbp,1,đbp
đep,1,đep
đepj,1,đepj
đevs,1,đevs
đila,1,đila
đièu,1,đièu
điẹn,1,điẹn
đnag,1,đnag
điẹp,1,điẹp
điểmm,1,điểmm
điịnh,1,điịnh
đj,1,đj
đja,1,đja
đm,1,đm
đônh,1,đônh
đưojc,1,đưojc
기다리고,1,기다리고
감각을,1,감각을
美味しいかった,1,美味しいかった
这家店虽然不大,1,这家店虽然不大
非常推薦,1,非常推薦
食物好吃,1,食物好吃
食物很美味,1,食物很美味
가격도,1,가격도
감자탕,1,감자탕
笑臉迎人,1,笑臉迎人
강추합니다,1,강추합니다
같아서,1,같아서
것은,1,것은
경복궁,1,경복궁
고맙습니다,1,고맙습니다
그의,1,그의
第一次來胡志明市旅遊,1,第一次來胡志明市旅遊
我來自台灣,1,我來自台灣
đưong,1,đưong
ươnh,1,ươnh
đẫ,1,đẫ
đếy,1,đếy
đỉmm,1,đỉmm
đỉnhh,1,đỉnhh
đỉnk,1,đỉnk
độg,1,độg
ạkk,1,ạ
店員都很親切,1,店員都很親切
ồh,1,ồh
ありがとう,1,ありがとう
但是品质非常好,1,但是品质非常好
價格合理,1,價格合理
居酒屋,1,居酒屋
工作人员也非常贴心,1,工作人员也非常贴心
vegetables,1,vegetables
vegan,1,vegan
veef,1,veef
vedett,1,vedett
tenchou,1,tenchou
terayaki,1,terayaki
tey,1,tey
thankyouu,1,thankyouu
thawed,1,thawed
thaya,1,thaya
theersai,1,theersai
ther,1,ther
temaki,1,temaki
tei,1,tei
tatate,1,tatate
tantanmen,1,tantanmen
tarte,1,tarte
tatami,1,tatami
tb,1,tb
tbh,1,tbh
td,1,td
tdt,1,tdt
teamkoanrau,1,teamkoanrau
thgian,1,thgian
thid,1,thid
thiep,1,thiep
thįt,1,thįt
thêt,1,thêt
thíc,1,thíc
thùy,1,thùy
thúch,1,thúch
thúy,1,thúy
thđ,1,thđ
thươmg,1,thương
thz,1,thz
thươngc,1,thươngc
thườg,1,thường
thưởnh,1,thường
thịtt,1,thịt
thỏai,1,thoải
thừơng,1,thường
thâi,1,thâi
thw,1,thw
thitnuonghanquoc,1,thitnuonghanquoc
thiênj,1,thiện
thks,1,thks
thoág,1,thoáng
thpt,1,thpt
thuờg,1,thường
tht,1,tht
ththieu,1,ththieu
thue,1,thue
thuoqng,1,thuoqng
thuowng,1,thuowng
thuơng,1,thương
tanedo,1,tanedo
tamago,1,tamago
stirred,1,stirred
stk,1,stk
stars,1,stars
stressed,1,stressed
subo,1,subo
standby,1,standby
sundaeguk,1,sundaeguk
spots,1,spots
sriracha,1,sriracha
ss,1,ss
ssm,1,ssm
staffs,1,staffs
takoh,1,takoh
tac,1,tac
sốg,1,sốg
sừon,1,sừon
tabaco,1,tabaco
tableside,1,tableside
sươ,1,sươ
taiwaineese,1,taiwaineese
taiwan,1,taiwan
takayoki,1,takayoki
takeaway,1,takeaway
tako,1,tako
sươdn,1,sươdn
sě,1,sě
sunde,1,sunde
suòn,1,suòn
sundea,1,sundea
suo,1,suo
suon,1,suon
sushiro,1,sushiro
sxep,1,sxep
sąch,1,sąch
sydney,1,sydney
ság,1,ság
sâch,1,sâch
sùon,1,sùon
súhi,1,súhi
săc,1,săc
tich,1,tich
tieeud,1,tieeud
tươii,1,tươii
tìh,1,tìh
tìnn,1,tìnn
tíck,1,tíck
tùe,1,tùe
tùnh,1,tùnh
tươ,1,tươ
tươngg,1,tươngg
tâầng,1,tâầng
uci,1,uci
uhm,1,ừm
uho,1,uho
ukilô,1,ukilô
têt,1,têt
tâmd,1,tâmd
tuơng,1,tuơng
tunhienladep,1,tunhienladep
tuoeng,1,tuoeng
tuyet,1,tuyet
tuô,1,tuô
tuơi,1,tươi
tuỵet,1,tuyệt
tâi,1,tâi
tvb,1,tvb
tvl,1,tvl
tvt,1,tvt
tyxsomewhere,1,tyxsomewhere
tâ,1,tâ
umer,1,umer
ttok,1,ttok
vanhanhmall,1,vanhanhmall
uốg,1,uốg
uớp,1,uớp
vaiz,1,vaiz
vaod,1,vaod
uán,1,uán
var,1,var
vcc,1,vcc
vcher,1,vcher
vde,1,vde
uóng,1,uóng
usuk,1,usuk
uni,1,uni
updated,1,updated
uniqlo,1,uniqlo
uong,1,uong
upsize,1,upsize
us,1,us
uses,1,uses
ttoan,1,ttoan
tieu,1,tieu
tokbooki,1,tokbooki
toalet,1,toalet
tobikko,1,tobikko
toille,1,toille
toji,1,toji
tokbbki,1,tokbbki
tokguk,1,tokguk
tmee,1,tmee
tokkbokki,1,tokkbokki
tokki,1,tokki
tokpoki,1,tokpoki
tokpokki,1,tokpokki
tomyun,1,tomyun
tmj,1,tmj
tkiu,1,tkiu
tonyum,1,tonyum
tinhd,1,tinhd
tikhách,1,tikhách
tiktokdơ,1,tiktokdơ
timjum,1,timjum
tira,1,tira
tiếpp,1,tiếp
tive,1,tive
tièn,1,tiền
tiê,1,tiền
tiêp,1,tiếp
tiêpd,1,tiêpd
tiếpmhachs,1,tiếpmhachs
tomzum,1,tomzum
tteokbookki,1,tteokbookki
truớc,1,trước
trieu,1,trieu
triình,1,triình
troii,1,troii
trsua,1,trà sữa
truong,1,truong
tryy,1,tryy
trees,1,trees
trươ,1,trước
trươca,1,trước
trắg,1,trắng
trờii,1,trời
trứơc,1,trước
tsao,1,tại sao
trending,1,trending
topoki,1,topoki
tourguide,1,tourguide
topokki,1,topokki
toppin,1,toppin
toppoki,1,toppoki
toronto,1,toronto
toyota,1,toyota
traning,1,traning
tranning,1,tranning
transitions,1,transitions
toiw,1,toiw
nct,1,nct
dđ,1,dđ
dungk,1,dungk
duong,1,đường
dvu,1,dịch vụ
dwaenjang,1,dwaenjang
dziên,1,viên
dècor,1,dècor
décor,1,décor
dượd,1,dượd
dạg,1,dạg
dịcho,1,dịcho
ears,1,ears
eattheworld,1,eattheworld
eco,1,eco
duii,1,duii
dtw,1,dtw
dl,1,dl
dm,1,dm
dmaris,1,dmaris
dodoog,1,dodoog
dodook,1,dodook
doenjang,1,doenjang
dongjibi,1,dongjibi
doya,1,doya
doyaj,1,doyaj
favlist,1,favlist
fa,1,fa
faces,1,faces
fanpgae,1,fanpgae
fav,1,fav
ehe,1,ehe
feb,1,feb
feet,1,feet
experiences,1,experiences
expected,1,expected
ehehe,1,ehehe
eim,1,eim
engawa,1,engawa
enhances,1,enhances
enjoyed,1,enjoyed
enoki,1,enoki
ep,1,ep
etc,1,etc
diịc,1,dịch
diã,1,dĩa
cáa,1,cá
cuong,1,cuồng
cutephomaique,1,cutephomaique
cuuyeejn,1,cuuyeejn
cuô,1,cuốn
cácc,1,các
disum,1,disum
când,1,cần
cåi,1,cải
cíu,1,cứu
códe,1,códe
cúôn,1,cuốn
cũmg,1,cũng
cũnv,1,cũng
cunhx,1,cũng
cucng,1,cũng
covi,1,covi
cp,1,cp
crm,1,crm
crumbs,1,crumbs
csgt,1,csgt
cubgxvtamj,1,cubgxvtamj
cảa,1,cả
cẻm,1,cảm
dabest,1,dabest
delicous,1,delicous
depends,1,depends
derco,1,derco
dethuong,1,dễ thương
dethw,1,dethw
dieu,1,điều
deliciousfoods,1,deliciousfoods
dac,1,dac
dallas,1,dallas
ddongbojib,1,ddongbojib
ddỉnh,1,ddỉnh
decol,1,decol
dek,1,dek
fewer,1,fewer
